ID_TAXON;GATTUNG;UNTERGATTUNG;ART;TAXONNAME;BESCHREIBER;JAHRESZAHL;UNTERFAMILIE;FAMILIE;GG_GROSSGRUPPE;GG_BEZEICHNUNG;GG_REIHENFOLGE;ID_VERSION;VER_BEZEICHNUNG;SYNONYM_LISTE;TROPHIE_INDEX;TROPHIE_WEIGHT;SAPROBIE_INDEX;SAPROBIE_WEIGHT;REFERENZART_TYP;REFERENZART_TYPB_AM1;REFERENZART_TYPB_AM2;REFERENZART_TYPB_AV1;REFERENZART_TYPB_AV2;REFERENZART_TYPB_BR1;REFERENZART_TYPB_BR2;REFERENZART_TYPB_BR3;REFERENZART_TYPB_FH1;REFERENZART_TYPB_FH2;REFERENZART_TYPB_FL1;REFERENZART_TYPB_FL2;REFERENZART_TYPB_FL3;REFERENZART_TYPB_GF1;REFERENZART_TYPB_GG1;REFERENZART_TYPB_GG2;REFERENZART_TYPB_GG3;REFERENZART_TYPB_HV1;REFERENZART_TYPB_HV2;REFERENZART_TYPB_HV3;REFERENZART_TYPB_IB1;REFERENZART_TYPB_IB2;REFERENZART_TYPB_KH2;REFERENZART_TYPB_KH3;REFERENZART_TYPB_KV1;REFERENZART_TYPB_KV2;REFERENZART_TYPB_KV3;REFERENZART_TYPB_SA1;REFERENZART_TYPB_SA2;REFERENZART_TYPB_SA3;REFERENZART_TYPB_UZA1;REFERENZART_TYPB_UZA2;REFERENZART_TYPB_UZA3;REFERENZART_TYPB_VAV1;REFERENZART_TYPB_VAV2;REFERENZART_TYPB_VZA2;REFERENZART_TYPB_VZA3
1552;Achnanthidium;;delmontii;Achnanthidium delmontii;PERES, LE COHU & BARTHES;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;2,3;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1553;Achnanthidium;;druartii;Achnanthidium druartii;RIMET & COUTE;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1554;Achnanthidium;;eutrophilum;Achnanthidium eutrophilum;(LANGE-BERTALOT) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes eutrophila;2,5;1;2,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1555;Achnanthidium;;exile;Achnanthidium exile;(KUETZING) ROUND & BUKHTIYAROVA;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes exilis;0;0;0;0;B;1;1;;;;;;1;1;1;1;1;1;;;;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1;;;1;1
1556;Achnanthidium;;gracillimum;Achnanthidium gracillimum;(LANGE-BERALOT) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes minutissima var. gracillima;0,6;3;1;5;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1557;Achnanthidium;;inconspicuum;Achnanthidium inconspicuum;(OESTRUP) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes minutissima var. inconspicua;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1558;Achnanthidium;;jackii;Achnanthidium jackii;RABENHORST sensu lato;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes minutissima var. jackii;0;0;0;0;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1559;Achnanthidium;;kranzii;Achnanthidium kranzii;(LANGE-BERTALOT) ROUND & BUKHTIYAROVA;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes kranzii;1,1;2;1,1;1;B;;;;;1;1;1;;;;;;;1;1;1;;;;1;1;;;;;;;;;1;1;1;;;1;1
1560;Achnanthidium;;lineare;Achnanthidium lineare;W.SMITH;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;1,3;1;1,6;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1561;Achnanthidium;;linearioides;Achnanthidium linearioides;(LANGE-BERTALOT) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes linearioides;1,5;1;1,2;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1562;Achnanthidium;;macrocephalum;Achnanthidium macrocephalum;(HUSTEDT) ROUND & BUKHTIYAROVA;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes minutissima var. macrocephala;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1563;Achnanthidium;;minutissimum;Achnanthidium minutissimum;(KUETZING) CZARNECKY;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes minutissima var. minutissima;1,3;1;1,6;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1564;Achnanthidium;;minutissimum Gruppe;Achnanthidium minutissimum Gruppe;;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes minutissima, Achnanthes minutissima;1,3;1;1,6;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1565;Achnanthidium;;neomicrocephalum;Achnanthidium neomicrocephalum;LANGE-BERTALOT & STAAB;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0,2;5;1;5;B;1;1;1;1;;;;1;1;1;1;1;1;;;;1;1;1;;;1;1;1;1;1;1;1;1;;;;1;1;;
1288;Achnanthidium;;pfisteri;Achnanthidium pfisteri;LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;1,9;1;1,8;1;B;1;1;1;1;;;;1;1;1;;;1;1;1;;;;;1;1;;;;;;;;;;;;1;1;;
1566;Achnanthidium;;pyrenaicum;Achnanthidium pyrenaicum;(HUSTEDT) KOBAYASI;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes biasolettiana var. biasolettiana;1,1;2;1,4;4;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1567;Achnanthidium;;rivulare;Achnanthidium rivulare;POTAPOVA & PONADER;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1568;Achnanthidium;;rosenstockii;Achnanthidium rosenstockii;(LANGE-BERTALOT) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes rosenstockii;0,4;1;1,4;4;B;1;1;1;1;;;;1;1;1;1;1;1;;;;1;1;1;;;1;1;1;1;1;1;1;1;;;;1;1;;
1569;Achnanthidium;;saprophilum;Achnanthidium saprophilum;(KOBAYASI & MAYAMA) ROUND & BUKHTIYAROVA;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes minutissima var. saprophila;3;1;3,1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1570;Achnanthidium;;sp.;Achnanthidium sp.;;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1571;Achnanthidium;;straubianum;Achnanthidium straubianum;(LANGE-BERTALOT) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes straubiana;1,6;1;1,9;1;B;;;1;;;;;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;1;;;
1572;Achnanthidium;;strictum;Achnanthidium strictum;REICHARDT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1573;Achnanthidium;;subatomus;Achnanthidium subatomus;(HUSTEDT) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes biasolettiana var. subatomus;1,6;3;1,7;4;B;1;1;1;1;1;1;1;1;1;;;;1;1;1;1;;;;1;1;;;;;;;;;1;1;1;1;1;1;1
1574;Achnanthidium;;subhudsonis;Achnanthidium subhudsonis;(HUSTEDT) KOBAYASI;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;2,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1575;Achnanthidium;;temniskovae;Achnanthidium temniskovae;IVANOV & ECTOR;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1576;Achnanthidium;;thienemannii;Achnanthidium thienemannii;(HUSTEDT) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes biasolettiana var. thienemannii;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1577;Achnanthidium;;zhakovschikovii;Achnanthidium zhakovschikovii;POTAPOVA;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1580;Adlafia;;aquaeductae;Adlafia aquaeductae;(KRASSKE) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Navicula bryophila var. aquaeductae;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1581;Adlafia;;bryophila;Adlafia bryophila;(PETERSEN) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Navicula bryophila var. bryophila;1,2;2;1,5;4;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1582;Adlafia;;langebertalotii;Adlafia langebertalotii;MONNIER, ECTOR, RIMET, FERREOL & HOFFMANN;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1583;Adlafia;;minuscula var. minuscula;Adlafia minuscula var. minuscula;(GRUNOW) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;2,3;0;1,8;0;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1584;Adlafia;;minuscula var. muralis;Adlafia minuscula var. muralis;(GRUNOW) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;2,5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1585;Adlafia;;parabryophila;Adlafia parabryophila;(LANGE-BERTALOT) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Navicula parabryophila;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1586;Adlafia;;sp.;Adlafia sp.;;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1587;Adlafia;;suchlandtii;Adlafia suchlandtii;(HUSTEDT) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Navicula suchlandtii;0;0;1,3;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;Amphipleura;;pellucida;Amphipleura pellucida;(KÜTZING) KÜTZING;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;1,5;1;1,6;3;B;1;1;1;1;;;;1;1;1;1;;1;;;;1;1;1;;;1;;1;1;1;1;1;;;;;1;1;;
1071;Amphipleura;;sp.;Amphipleura sp.;;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
