seq_ID	Species	Genus	Family	Order	Class	Phylum	Subkingdom	Kingdom	Empire
TCC141-4-18S-1	Scenedesmus acutus var. acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC141-5-18S-1	Scenedesmus acutus var. acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC141-6-18S-1	Scenedesmus acutus var. acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC142-1-18S-1	Scenedesmus acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC142-2-18S-1	Scenedesmus acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC143-18S-1	Scenedesmus acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC144-1-18S-1	Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC144-2-18S-1	Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC144-3-18S-1	Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC144-4-18S-1	Scenedesmus pecsensis	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC144-5-18S-1	Scenedesmus pecsensis	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC144-6-18S-1	Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC144-7-18S-1	Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC145-2-18S-1	Choricystis sp.	Choricystis	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC146-1-18S-1	Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC146-2-18S-1	Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC146-3-18S-1	Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC147-18S-1	Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC148-1-18S-1	Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC148-2-18S-1	Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC148-3-18S-1	Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC148-4-18S-1	Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC148-5-18S-1	Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC148-6-18S-1	Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC150-3-18S-1	Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC150-8-18S-1	Chlorella vulgaris	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC160-18S-1	Parachlorella kessleri	Parachlorella	Chlorellaceae 	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC162-18S-1	Chlorella sp.	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC163-18S-1	Chlorella vulgaris	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC164-18S-1	Muriella zofingiensis	Muriella	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC165-18S-1	Xanthonema montanum	Xanthonema	Xanthonemataceae	Tribonematales	Xanthophyceae	Heterokontophyta	Heterokonta	Chromista	Eukaryota
TCC166-18S-1	Stichococcus cf. fragilis	Stichococcus	Prasiolaceae	Prasiolales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC167-18S-1	Synura petersenii	Synura	Mallomonadaceae	Synurales	Synurophyceae	Ochrophyta	Chromobiota	Chromista	Eukaryota
TCC168-18S-1	Cryptomonas tetrapyrenoidosa 	Cryptomonas	Cryptomonadaceae	Cryptomonadales	Cryptophyceae	Cryptophyta	Cryptista	Chromista	Eukaryota
TCC208-18S-1	Chlorella (3 varietés)	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC212-18S-1	Chlorella sp.	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC225-18S-1	Chlorella vulgaris	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC229-18S-1	Chlorella vulgaris	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC234-2-18S-1	Chlamydomonas reinhardtii	Chlamydomonas	Chlamydomonadaceae	Volvocales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC301-18S-1	Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC302-18S-1	Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC303-18S-1	Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC304-18S-1	Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC306-18S-1	Ulnaria ulna	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC308-18S-1	Scenedesmus sp.	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC310-18S-1	Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC311-18S-1	Scenedesmus spinosus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC316-18S-1	Scenedesmus intermedius	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC320-18S-1	Ankistrodesmus gracilis	Ankistrodesmus	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC322-18S-1	Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC324-18S-1	Scenedesmus spinosus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC325-18S-1	Scenedesmus acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC326-18S-1	Scenedesmus spinosus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC329-18S-1	Chlorella vulgaris var. viridis	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC330-18S-1	Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC331-18S-1	Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC332-18S-1	Scenedesmus nanus	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC335-18S-1	Neocystis arvensis	Neocystis	Radiococcaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC336-18S-1	Scotiellopsis rubescens	Scotiellopsis	Chlorellaceae 	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC342-18S-1	Chlorella saccharophila	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC343-18S-1	Chlamydomonas sp.	Chlamydomonas	Chlamydomonadaceae	Volvocales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC346-18S-1	Chlorella saccharophila	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC348-18S-1	Pseudococcomyxa pringsheimii	Pseudococcomyxa	Oocystaceae 	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC350-18S-1	Tetracystis aggregata	Tetracystis	Chlorococcaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC352-18S-1	Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC353-18S-1	Pantocsekiella costei	Pantocsekiella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC355-18S-1	Stephanodiscus minutulus	Stephanodiscus	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC356-18S-1	Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC357-18S-1	Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC358-18S-1	Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC359-18S-1	Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC360-18S-1	Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC364-18S-1	Conticribra weissflogii	Conticribra	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC365-18S-1	Fragilaria cf. nanoides	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC366-18S-1	Mayamaea permitis	Mayamaea	Sellaphoraceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC367-18S-1	Fragilaria perminuta	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC368-18S-1	Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC369-18S-1	Surirella elliptica	Surirella	Surirellaceae	Surirellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC370-18S-1	Diadesmis gallica	Diadesmis	Diadesmidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC371-18S-1	Eunotia bilunaris	Eunotia	Eunotiaceae	Eunotiales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC372-18S-1	Fragilaria vaucheriae	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC373-18S-1	Ulnaria acus	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC374-18S-1	Ulnaria ulna	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC375-18S-1	Nitzschia acicularis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC376-18S-1	Mayamaea permitis	Mayamaea	Sellaphoraceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC377-18S-1	Nitzschia communis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC378-18S-1	Nitzschia dissipata	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC379-18S-1	Nitzschia filiformis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC380-18S-1	Nitzschia fonticola	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC381-18S-1	Nitzschia inconspicua	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC382-18S-1	Nitzschia paleaeformis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC383-18S-1	Nitzschia paleaeformis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC384-18S-1	Nitzschia pusilla	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC385-18S-1	Nitzschia pusilla	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC386-18S-1	Nitzschia linearis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC387-18S-1	Nitzschia linearis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC388-18S-1	Nitzschia linearis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC389-18S-1	Nitzschia paleacea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC391-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC392-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC393-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC394-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC395-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC396-18S-1	Nitzschia cf. pusilla	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC397-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC398-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC399-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC400-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC401-18S-1	Fistulifera saprophila	Fistulifera	Sellaphoraceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC402-18S-1	Craticula subminuscula	Craticula	Stauroneidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC403-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC404-18S-1	Nitzschia supralitorea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC405-18S-1	Nitzschia supralitorea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC406-18S-1	Pinnularia rupestris	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC407-18S-1	Surirella angusta	Surirella	Surirellaceae	Surirellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC408-18S-1	Surirella brebissonii	Surirella	Surirellaceae	Surirellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC426-18S-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC428-18S-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC429-18S-1	Gomphonema lagenula	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC430-18S-1	Gomphonema lagenula	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC431-18S-1	Gomphonema lagenula	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC432-18S-1	Gomphonema lagenula	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC433-18S-1	Gomphonema lagenula	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC434-18S-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC435-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC436-18S-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC438-18S-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC439-18S-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC441-18S-1	Gomphonema bourbonense	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC442-18S-1	Nitzschia inconspicua	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC443-18S-1	Nitzschia inconspicua	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC444-18S-1	Nitzschia inconspicua	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC445-18S-1	Nitzschia amphibia	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC446-18S-1	Navicula cryptocephala	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC447-18S-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC448-18S-1	Navicula germainii	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC449-18S-1	Cocconeis euglypta	Cocconeis	Cocconeidaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC451-18S-1	Gomphonema bourbonense	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC452-18S-1	Gomphonema bourbonense	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
