Kigdom	phylum	Class	Order	Family	Genus	Species	Subspecies	TaxID
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cuora	Cuora yunnanensis	Unassigned	176194
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Mauremys	Mauremys japonica	Unassigned	176196
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Mauremys	Mauremys leprosa	Unassigned	176197
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Aldabrachelys	Aldabrachelys grandidieri	Unassigned	180172
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Cylindraspis	Cylindraspis inepta	Unassigned	180174
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Cylindraspis	Cylindraspis indica	Unassigned	180175
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Cylindraspis	Cylindraspis peltastes	Unassigned	180176
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Cylindraspis	Cylindraspis triserrata	Unassigned	180177
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Cylindraspis	Cylindraspis vosmaeri	Unassigned	180178
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Geochelone	Geochelone elegans	Unassigned	180179
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Gopherus	Gopherus evgoodei	Unassigned	1825980
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Lissemys	Lissemys punctata	Lissemys punctata andersoni x Lissemys punctata punctata	1853347
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Lissemys	Lissemys ceylonensis	Unassigned	1853348
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Lissemys	Lissemys punctata	Lissemys punctata vittata	1854752
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chelonoidis	Chelonoidis alburyorum	Unassigned	1873747
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Psammobates	Psammobates tentorius	Psammobates tentorius trimeni	1896053
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Psammobates	Psammobates tentorius	Psammobates tentorius tentorius	1896054
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Batagur	Batagur baska	Unassigned	193151
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys nigrinoda	Graptemys nigrinoda nigrinoda	1969994
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys pearlensis	Unassigned	1969995
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys pseudogeographica	Graptemys pseudogeographica pseudogeographica	1969996
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys flavimaculata x Graptemys oculifera	Unassigned	1969997
