family	genus	species	rank
Pinnulariaceae	Pinnularia	Pinnularia sudetica	species
Naviculaceae	Navicula	Navicula undula	species
Pinnulariaceae	Pinnularia	Pinnularia undulata	species
Pinnulariaceae	Pinnularia	Pinnularia viridiformis	species
Pinnulariaceae	Pinnularia	Pinnularia viridoides	species
Naviculaceae	Pinnunavis	nan	genus
Naviculaceae	Navicula	Navicula genustriata	species
Cymbellaceae	Placoneis	nan	genus
Cymbellaceae	Placoneis	Placoneis anglica	species
Cymbellaceae	Placoneis	Placoneis clementis	species
Cymbellaceae	Placoneis	Placoneis elginensis	species
Cymbellaceae	Placoneis	Placoneis explanata	species
Cymbellaceae	Placoneis	Placoneis gastrum	species
Naviculaceae	Navicula	Navicula ignorata	species
Amphipleuraceae	Amphiprora	Amphiprora navicularis	species
Cymbellaceae	Placoneis	Placoneis neoexigua	species
Cymbellaceae	Placoneis	Placoneis opportuna	species
Cymbellaceae	Placoneis	Placoneis paraelginensis	species
Cymbellaceae	Placoneis	Placoneis placentula	species
Cymbellaceae	Placoneis	Placoneis porifera	species
Cymbellaceae	Placoneis	Placoneis pseudanglica	species
Naviculaceae	Navicula	Navicula dicephala	species
Cymbellaceae	Placoneis	Placoneis significans	species
Plagiogrammaceae	Plagiogramma	Plagiogramma staurophorum	species
Cymatosiraceae	Plagiogrammopsis	nan	genus
Plagiogrammaceae	Plagiogramma	Plagiogramma vanheurckii	species
Achnanthidiaceae	Planothidium	nan	genus
Achnanthidiaceae	Planothidium	Planothidium biporomum	species
Achnanthidiaceae	Planothidium	Planothidium calcar	species
Achnanthaceae	Achnanthes	Achnanthes daui	species
Achnanthidiaceae	Achnanthidium	Achnanthidium delicatulum	species
Achnanthaceae	Achnanthes	Achnanthes dispar	species
Achnanthaceae	Achnanthes	Achnanthes distincta	species
Achnanthidiaceae	Planothidium	Planothidium dubium	species
Achnanthaceae	Achnanthes	Achnanthes engelbrechtii	species
Achnanthidiaceae	Planothidium	Planothidium frequentissimum	species
Achnanthaceae	Achnanthes	Achnanthes rostrata	species
Achnanthidiaceae	Planothidium	Planothidium lanceolatum	species
Achnanthaceae	Achnanthes	Achnanthes grana	species
Achnanthidiaceae	Planothidium	Planothidium hauckianum	species
Achnanthidiaceae	Planothidium	Planothidium haynaldii	species
Achnanthaceae	Achnanthes	Achnanthes joursacense	species
Achnanthaceae	Achnanthes	Achnanthes linkei	species
Achnanthidiaceae	Planothidium	Planothidium minutissimum	species
Achnanthidiaceae	Planothidium	Planothidium oestrupii	species
Achnanthidiaceae	Planothidium	Planothidium peragallii	species
Achnanthaceae	Achnanthes	Achnanthes pericava	species
Achnanthaceae	Achnanthes	Achnanthes polaris	species
Achnanthaceae	Achnanthes	Achnanthes pseudotanensis	species
Achnanthidiaceae	Skabitschewskia	Skabitschewskia pungens	species
Achnanthidiaceae	Planothidium	Planothidium reichardtii	species
Achnanthidiaceae	Planothidium	Planothidium robustum	species
Achnanthidiaceae	Planothidium	Planothidium rostratum	species
Achnanthaceae	Achnanthes	Achnanthes septentrionalis	species
Achnanthidiaceae	Planothidium	Planothidium sopotense	species
Achnanthaceae	Platessa	Platessa bavarica	species
Achnanthaceae	Achnanthes	Achnanthes conspicua	species
Achnanthaceae	Achnanthes	Achnanthes holsatica	species
Cocconeidaceae	Cocconeis	Cocconeis hustedtii	species
Achnanthaceae	Achnanthes	Achnanthes montana	species
Achnanthaceae	Platessa	Platessa oblongella	species
Achnanthaceae	Achnanthes	Achnanthes rupestris	species
Achnanthaceae	Achnanthes	Achnanthes ziegleri	species
Pleurosigmataceae	Pleurosigma	nan	genus
Pleurosigmataceae	Pleurosigma	Pleurosigma angulatum	species
Pleurosigmataceae	Pleurosigma	Pleurosigma elongatum	species
Pleurosigmataceae	Pleurosigma	Pleurosigma salinarum	species
Triceratiaceae	Pleurosira	nan	genus
Triceratiaceae	Pleurosira	Pleurosira laevis	species
Hyalodiscaceae	Podosira	nan	genus
Hyalodiscaceae	Podosira	Podosira stelligera	species
Proschkiniaceae	Proschkinia	nan	genus
Catenulaceae	Amphora	Amphora complanata	species
Achnanthidiaceae	Psammothidium	nan	genus
Achnanthidiaceae	Psammothidium	Psammothidium acidoclinatum	species
Achnanthidiaceae	Psammothidium	Psammothidium altaicum	species
Achnanthidiaceae	Psammothidium	Psammothidium bioretii	species
Achnanthidiaceae	Psammothidium	Psammothidium bristolicum	species
Achnanthaceae	Achnanthes	Achnanthes chlidanos	species
Achnanthaceae	Achnanthes	Achnanthes daonensis	species
Achnanthaceae	Achnanthes	Achnanthes didyma	species
Achnanthaceae	Achnanthes	Achnanthes grischuna	species
Achnanthidiaceae	Psammothidium	Psammothidium helveticum	species
Achnanthaceae	Achnanthes	Achnanthes kuelbsii	species
Achnanthidiaceae	Psammothidium	Psammothidium lacus-vulcani	species
Achnanthaceae	Achnanthes	Achnanthes lauenburgiana	species
Achnanthaceae	Achnanthes	Achnanthes levanderi	species
Achnanthaceae	Achnanthes	Achnanthes marginulata	species
Pinnulariaceae	Pinnularia	Pinnularia perpusilla	species
Achnanthidiaceae	Psammothidium	Psammothidium punctulatum	species
Achnanthidiaceae	Psammothidium	Psammothidium rechtense	species
Achnanthaceae	Achnanthes	Achnanthes rossii	species
Achnanthaceae	Achnanthes	Achnanthes scotica	species
Naviculaceae	Navicula	Navicula strenzkei	species
Naviculaceae	Navicula	Navicula subatomoides	species
Sellaphoraceae	Pseudofallacia	Pseudofallacia tenera	species
Bacillariaceae	Pseudo-nitzschia	nan	genus
Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia delicatissima	species
Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia pungens	species
Fragilariaceae	Pseudostaurosira	nan	genus
Fragilariaceae	Pseudostaurosira	Pseudostaurosira brevistriata	species
Rhaphoneidaceae	Sceptroneis	Sceptroneis marina	species
Naviculaceae	Pulchella	nan	genus
Naviculaceae	Pulchella	Pulchella minutissima	species
Naviculaceae	Pulchellophycus	Pulchellophycus obsitus	species
Gomphonemataceae	Reimeria	nan	genus
Gomphonemataceae	Reimeria	Reimeria sinuata	species
Gomphonemataceae	Reimeria	Reimeria uniseriata	species
Rhabdonemataceae	Rhabdonema	Rhabdonema minutum	species
Rhaphoneidaceae	Rhaphoneis	nan	genus
Rhaphoneidaceae	Rhaphoneis	Rhaphoneis amphiceros	species
Rhizosoleniaceae	Rhizosolenia	nan	genus
Rhizosoleniaceae	Rhizosolenia	Rhizosolenia eriensis	species
Rhizosoleniaceae	Rhizosolenia	Rhizosolenia imbricata	species
Rhizosoleniaceae	Rhizosolenia	Rhizosolenia longiseta	species
Rhizosoleniaceae	Sundstroemia	Sundstroemia setigera	species
Rhizosoleniaceae	Sundstroemia	Sundstroemia similoides	species
Rhoicospheniaceae	Rhoicosphenia	nan	genus
Rhoicospheniaceae	Rhoicosphenia	Rhoicosphenia abbreviata	species
Rhoicospheniaceae	Rhoicosphenia	Rhoicosphenia marina	species
Rhopalodiaceae	Rhopalodia	nan	genus
Rhopalodiaceae	Rhopalodia	Rhopalodia acuminata	species
Rhopalodiaceae	Rhopalodia	Rhopalodia brebissonii	species
Rhopalodiaceae	Epithemia	Epithemia constricta	species
Rhopalodiaceae	Rhopalodia	Rhopalodia gibba	species
Rhopalodiaceae	Rhopalodia	Rhopalodia gibberula	species
Rhopalodiaceae	Rhopalodia	Rhopalodia musculus	species
Rhopalodiaceae	Epithemia	Epithemia parallela	species
Rhopalodiaceae	Epithemia	Epithemia rupestris	species
Scoliotropidaceae	Scoliopleura	Scoliopleura peisonis	species
Scoliotropidaceae	Scoliotropis	Scoliotropis latestriata	species
Sellaphoraceae	Sellaphora	nan	genus
Sellaphoraceae	Sellaphora	Sellaphora auldreekie	species
Sellaphoraceae	Sellaphora	Sellaphora blackfordensis	species
Sellaphoraceae	Sellaphora	Sellaphora capitata	species
Naviculaceae	Navicula	Navicula fusticulus	species
Sellaphoraceae	Sellaphora	Sellaphora laevissima	species
Sellaphoraceae	Sellaphora	Sellaphora lanceolata	species
Sellaphoraceae	Sellaphora	Sellaphora lange-bertalotii	species
Sellaphoraceae	Sellaphora	Sellaphora mutatoides	species
Stauroneidaceae	Stauroneis	Stauroneis nana	species
Sellaphoraceae	Sellaphora	Sellaphora obesa	species
Sellaphoraceae	Sellaphora	Sellaphora parapupula	species
Stauroneidaceae	Stauroneis	Stauroneis rectangularis	species
Sellaphoraceae	Sellaphora	Sellaphora verecundiae	species
nan	Sieminskia	nan	genus
nan	Sieminskia	Sieminskia wohlenbergii	species
Bacillariaceae	Nitzschia	Nitzschia delognei	species
Skeletonemaceae	Skeletonema	nan	genus
Skeletonemaceae	Skeletonema	Skeletonema costatum	species
Thalassiosiraceae	Microsiphona	Microsiphona potamos	species
Skeletonemaceae	Skeletonema	Skeletonema subsalsum	species
Stauroneidaceae	Stauroneis	nan	genus
Stauroneidaceae	Stauroneis	Stauroneis acidobionta	species
Stauroneidaceae	Stauroneis	Stauroneis acidoclinata	species
Stauroneidaceae	Stauroneis	Stauroneis acuta	species
Stauroneidaceae	Stauroneis	Stauroneis aerophila	species
Stauroneidaceae	Stauroneis	Stauroneis agrestis	species
Stauroneidaceae	Stauroneis	Stauroneis alpina	species
Stauroneidaceae	Stauroneis	Stauroneis amphicephala	species
Stauroneidaceae	Stauroneis	Stauroneis anceps	species
Stauroneidaceae	Stauroneis	Stauroneis balatonis	species
Stauroneidaceae	Stauroneis	Stauroneis borrichii	species
Stauroneidaceae	Stauroneis	Stauroneis phoenicenteron	species
Stauroneidaceae	Stauroneis	Stauroneis dilatata	species
Stauroneidaceae	Stauroneis	Stauroneis fridericiana	species
Stauroneidaceae	Stauroneis	Stauroneis gracilior	species
Stauroneidaceae	Stauroneis	Stauroneis gracilis	species
Stauroneidaceae	Stauroneis	Stauroneis hyperborea	species
Stauroneidaceae	Stauroneis	Stauroneis javanica	species
Stauroneidaceae	Stauroneis	Stauroneis kriegeri	species
Stauroneidaceae	Stauroneis	Stauroneis kuelbsii	species
Stauroneidaceae	Stauroneis	Stauroneis laterostrata	species
Stauroneidaceae	Stauroneis	Stauroneis lauenburgiana	species
Stauroneidaceae	Stauroneis	Stauroneis legumen	species
Stauroneidaceae	Stauroneis	Stauroneis leguminopsis	species
Stauroneidaceae	Stauroneis	Stauroneis lundii	species
Stauroneidaceae	Stauroneis	Stauroneis microbtusa	species
Stauroneidaceae	Stauroneis	Stauroneis muriella	species
Stauroneidaceae	Stauroneis	Stauroneis neohyalina	species
Stauroneidaceae	Stauroneis	Stauroneis nobilis	species
Stauroneidaceae	Stauroneis	Stauroneis obtusa	species
Stauroneidaceae	Stauroneis	Stauroneis parathermicola	species
Stauroneidaceae	Stauroneis	Stauroneis parvulissima	species
Stauroneidaceae	Stauroneis	Stauroneis producta	species
nan	Pleurostauron	Pleurostauron prominulum	species
Stauroneidaceae	Stauroneis	Stauroneis pseudoagrestis	species
Stauroneidaceae	Stauroneis	Stauroneis reichardtii	species
Stauroneidaceae	Stauroneis	Stauroneis sagitta	species
Anomoeoneidaceae	Staurophora	Staurophora salina	species
Stauroneidaceae	Stauroneis	Stauroneis schimanskii	species
Stauroneidaceae	Stauroneis	Stauroneis separanda	species
Stauroneidaceae	Stauroneis	Stauroneis silvahassiaca	species
Naviculaceae	Navicula	Navicula simulans	species
Stauroneidaceae	Stauroneis	Stauroneis smithii	species
Stauroneidaceae	Stauroneis	Stauroneis subgracilis	species
Naviculaceae	Navicula	Navicula tackei	species
Stauroneidaceae	Stauroneis	Stauroneis thermicola	species
Stauroneidaceae	Stauroneis	Stauroneis undata	species
nan	Stauronella	Stauronella indubitabilis	species
Fragilariaceae	Staurosira	nan	genus
Fragilariaceae	Staurosira	Staurosira aventralis	species
Fragilariaceae	Staurosira	Staurosira binodis	species
Fragilariaceae	Staurosira	Staurosira borealis	species
Fragilariaceae	Fragilaria	Fragilaria microstriata	species
Fragilariaceae	Staurosira	Staurosira venter	species
Surirellaceae	Stenopterobia	nan	genus
Fragilariaceae	Synedra	Synedra curvula	species
Surirellaceae	Surirella	Surirella delicatissima	species
Surirellaceae	Stenopterobia	Stenopterobia densestriata	species
Stephanodiscaceae	Stephanocostis	nan	genus
Stephanodiscaceae	Stephanocostis	Stephanocostis chantaicus	species
Stephanodiscaceae	Stephanodiscus	nan	genus
Stephanodiscaceae	Stephanodiscus	Stephanodiscus alpinus	species
Stephanodiscaceae	Stephanodiscus	Stephanodiscus astraea	species
Stephanodiscaceae	Cyclotella	Cyclotella minutula	species
Stephanodiscaceae	Stephanodiscus	Stephanodiscus binderanus	species
Stephanodiscaceae	Stephanodiscus	Stephanodiscus hantzschii	species
Stephanodiscaceae	Stephanodiscus	Stephanodiscus incognitus	species
Stephanodiscaceae	Stephanodiscus	Stephanodiscus lucens	species
Stephanodiscaceae	Stephanodiscus	Stephanodiscus neoastraea	species
Stephanodiscaceae	Stephanodiscus	Stephanodiscus parvus	species
Stephanodiscaceae	Stephanodiscus	Stephanodiscus tenuis	species
Surirellaceae	Surirella	nan	genus
Surirellaceae	Surirella	Surirella amphioxys	species
Surirellaceae	Surirella	Surirella angusta	species
Surirellaceae	Surirella	Surirella barrowcliffia	species
Surirellaceae	Surirella	Surirella bifrons	species
Surirellaceae	Surirella	Surirella birostrata	species
Surirellaceae	Surirella	Surirella biseriata	species
Surirellaceae	Surirella	Surirella bohemica	species
Surirellaceae	Surirella	Surirella brebissonii	species
Surirellaceae	Surirella	Surirella brightwellii	species
Surirellaceae	Surirella	Surirella baltica	species
Surirellaceae	Surirella	Surirella capronii	species
Surirellaceae	Surirella	Surirella constricta	species
Surirellaceae	Surirella	Surirella crumena	species
Surirellaceae	Surirella	Surirella didyma	species
Surirellaceae	Surirella	Surirella elegans	species
Surirellaceae	Surirella	Surirella gemma	species
Surirellaceae	Surirella	Surirella gracilis	species
Surirellaceae	Surirella	Surirella helvetica	species
Surirellaceae	Surirella	Surirella lapponica	species
Surirellaceae	Surirella	Surirella linearis	species
Surirellaceae	Surirella	Surirella margilacola	species
Surirellaceae	Surirella	Surirella minuta	species
Surirellaceae	Surirella	Surirella moelleriana	species
Surirellaceae	Surirella	Surirella ovalis	species
Surirellaceae	Surirella	Surirella ovata	species
Surirellaceae	Surirella	Surirella patella	species
Surirellaceae	Surirella	Surirella roba	species
Surirellaceae	Surirella	Surirella robusta	species
Surirellaceae	Spirodiscina	Spirodiscina spiralis	species
Surirellaceae	Surirella	Surirella splendida	species
Surirellaceae	Surirella	Surirella striatula	species
Surirellaceae	Surirella	Surirella subsalsa	species
Surirellaceae	Surirella	Surirella tenera	species
Surirellaceae	Surirella	Surirella tenuis	species
Surirellaceae	Surirella	Surirella terricola	species
Surirellaceae	Surirella	Surirella turgida	species
Surirellaceae	Surirella	Surirella visurgis	species
Fragilariaceae	Synedra	nan	genus
Bacillariaceae	Nitzschia	Nitzschia holsatica	species
Fragilariaceae	Synedra	Synedra affinis	species
Fragilariaceae	Synedra	Synedra capitata	species
Naviculaceae	Navicula	Navicula gaillonii	species
Fragilariaceae	Synedra	Synedra pulchella	species
Fragilariaceae	Synedra	Synedra rumpens	species
Fragilariaceae	Synedra	Synedra ulna	species
Fragilariaceae	Synedra	Synedra vaucheriae	species
Tabellariaceae	Tabellaria	nan	genus
Fragilariaceae	Fragilaria	Fragilaria binalis	species
Tabellariaceae	Tabellaria	Tabellaria fenestrata	species
Tabellariaceae	Tabellaria	Tabellaria flocculosa	species
Tabellariaceae	Tabellaria	Tabellaria quadriseptata	species
Tabellariaceae	Tabellaria	Tabellaria ventricosa	species
Fragilariaceae	Tabularia	Tabularia parva	species
Fragilariaceae	Tabularia	Tabularia tabulata	species
Tabellariaceae	Tetracyclus	nan	genus
Tabellariaceae	Tetracyclus	Tetracyclus emarginatus	species
Tabellariaceae	Tetracyclus	Tetracyclus glans	species
Tabellariaceae	Tetracyclus	Tetracyclus rupestris	species
Thalassionemataceae	Thalassionema	nan	genus
Thalassionemataceae	Thalassionema	Thalassionema nitzschioides	species
Thalassiosiraceae	Thalassiosira	nan	genus
Orthoseiraceae	Orthoseira	Orthosira angulata	species
Thalassiosiraceae	Thalassiosira	Thalassiosira baltica	species
Stephanodiscaceae	Stephanodiscus	Stephanodiscus bramaputrae	species
Thalassiosiraceae	Thalassiosira	Thalassiosira eccentrica	species
Thalassiosiraceae	Thalassiosira	Thalassiosira gessneri	species
Thalassiosiraceae	Thalassiosira	Thalassiosira gravida	species
Thalassiosiraceae	Thalassiosira	Thalassiosira guillardii	species
Thalassiosiraceae	Thalassiosira	Thalassiosira minima	species
Thalassiosiraceae	Thalassiosira	Thalassiosira proschkinae	species
Thalassiosiraceae	Thalassiosira	Thalassiosira pseudonana	species
Thalassiosiraceae	Thalassiosira	Thalassiosira punctigera	species
Thalassiosiraceae	Thalassiosira	Thalassiosira rotula	species
Thalassiosiraceae	Thalassiosira	Thalassiosira visurgis	species
Triceratiaceae	Triceratium	Triceratium favus	species
Triceratiaceae	Trieres	nan	genus
Triceratiaceae	Trieres	Trieres mobiliensis	species
Triceratiaceae	Trieres	Trieres regia	species
Bacillariaceae	Tryblionella	Tryblionella salinarum	species
Fragilariaceae	Ulnaria	nan	genus
Fragilariaceae	Synedra	Synedra delicatissima	species
Rhizosoleniaceae	Urosolenia	nan	genus
Rhizosoleniaceae	Urosolenia	Urosolenia longiseta	species
Triceratiaceae	Zygoceros	nan	genus
Triceratiaceae	Zygoceros	Zygoceros ehrenbergii	species
